[2026-01-07 16:59:30] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-07 16:59:30] info: 	z2m: Starting Zigbee2MQTT version 2.6.3 (commit #unknown)
[2026-01-07 16:59:30] info: 	z2m: Starting zigbee-herdsman (6.3.2)
[2026-01-07 16:59:30] info: 	zh:adapter:discovery: Matched adapter: {"path":"/dev/ttyUSB0","manufacturer":"ITead","serialNumber":"0cdacdfcd19aef1197dfb29061ce3355","pnpId":"usb-ITead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_0cdacdfcd19aef1197dfb29061ce3355-if00-port0","vendorId":"10c4","productId":"ea60"} => zstack: 4
[2026-01-07 16:59:30] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2026-01-07 16:59:30] info: 	zh:zstack:znp: Serialport opened
[2026-01-07 16:59:34] info: 	z2m: zigbee-herdsman started (resumed)
[2026-01-07 16:59:34] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20250321,"transportrev":2},"type":"ZStack3x0"}'
[2026-01-07 16:59:34] info: 	z2m: Balcony (0x54ef441001412026): ZNXDD01LM - Aqara Ceiling light L1-350 (Router)
[2026-01-07 16:59:34] info: 	z2m: Living Room Cove (0xa4c138394da0e350): TS0502B - Tuya Light controller (Router)
[2026-01-07 16:59:34] info: 	z2m: Living Room Downlight 1 (0xa4c1383d2c4da0ef): TS0502B - Tuya Light controller (Router)
[2026-01-07 16:59:34] info: 	z2m: Living Room Downlight 2 (0xa4c1388023fdde49): TS0502B - Tuya Light controller (Router)
[2026-01-07 16:59:34] info: 	z2m: Living Room Downlight 3 (0xa4c13805914db526): TS0502B - Tuya Light controller (Router)
[2026-01-07 16:59:34] info: 	z2m: Living Room Downlight 5 (0xa4c1381281048f35): TS0502B - Tuya Light controller (Router)
[2026-01-07 16:59:34] info: 	z2m: Living Room Downlight 4 (0xa4c138635c439712): TS0502B - Tuya Light controller (Router)
[2026-01-07 16:59:34] info: 	z2m: Foyer Downlight (0xa4c138dc745d8a7e): TS0502B - Tuya Light controller (Router)
[2026-01-07 16:59:34] info: 	z2m: Foyer Strip (0xa4c138bf06c6d876): TS0502B - Tuya Light controller (Router)
[2026-01-07 16:59:34] info: 	z2m: Currently 9 devices are joined.
[2026-01-07 16:59:34] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2026-01-07 16:59:34] info: 	z2m: Connected to MQTT server
